Date,Open,High,Low,Close,Volume,Change
2015-02-13,40985.0,41100,40970,41005,4421,0.007404872500777
2015-02-16,41115.0,41080,40925,41025,8025,0.0027687303387103
2015-02-17,41180.0,41115,41030,41070,70,0.0042019701947244
2015-02-23,41395.0,41225,41105,41150,439,0.0075774171633017
2015-02-24,41665.0,41495,41395,41495,2013,0.0324662521802623
2015-02-25,41425.0,41705,41580,41640,4598,0.0136842841164444
2015-02-26,41235.0,41460,41150,41155,3924,-0.0441535949185909
2015-02-27,41070.0,41250,41160,41180,1055,0.0023192654021919
2015-03-02,40990.0,41100,40955,40955,4276,-0.0211674427819523
2015-03-03,40915.0,41140,40915,41070,2436,0.0110590665818307
2015-03-04,41000.0,40925,40875,40880,2395,-0.0180601665120517
2015-03-05,41005.0,41015,41000,41010,33,0.0127721944219195
2015-03-06,40900.0,41005,40930,40930,852,-0.0079415178206454
2015-03-09,41010.0,41065,40750,40915,19643,-0.0005734605888064
2015-03-10,40735.0,41145,40590,40735,7563,-0.0168930056370368
2015-03-11,40880.0,40805,40645,40695,454,-0.0041763518153554
2015-03-12,40950.0,40905,40880,40885,109,0.0182754629702242
2015-03-13,41035.0,41040,40950,41040,20,0.015314588178477
2015-03-16,41410.0,41095,41035,41095,508,0.004872007999313
2015-03-17,41560.0,41650,41215,41445,4171,0.0338469772099472
2015-03-18,43430.0,41620,41530,41620,3057,0.0167072821608498
2015-03-19,41650.0,43470,41585,41685,1971,0.0053177887545093
2015-03-20,41775.0,41725,41585,41650,287,-0.0034566674266881
2015-03-23,41790.0,41800,41750,41780,670,0.0122740276003096
2015-03-24,42120.0,41975,41740,41915,3939,0.0115246083297008
2015-03-25,42550.0,42350,42120,42345,645,0.0388062884350514
2015-03-26,42280.0,42660,42065,42180,4736,-0.0120416727435836
2015-03-27,42325.0,42280,42250,42250,230,0.0054487623613794
2015-03-30,42405.0,42375,42290,42290,13,0.0040526103750775
2015-03-31,42705.0,42480,42405,42475,227,0.0159870297392713
2015-04-01,42630.0,42720,42685,42700,133,0.0203097614013157
2015-04-02,42520.0,42630,42330,42350,36,-0.030062748463576
2015-04-03,42500.0,42585,42340,42385,1333,0.0031427802013465
