Date,Open,High,Low,Close,Volume,Change
1983-03-12,123236150.0,123760245,119834302,121663687,981605,-0.4031883369361083
1983-03-14,120110256.0,124547551,119839263,119846123,1030596,-0.0175537675597661
1983-03-15,119062063.0,120636655,119320760,119846313,1026426,-0.0621628890184177
1983-03-16,117749417.0,119063957,117224791,117752406,1174842,-0.8951351791480239
1983-03-17,115909239.0,117752331,115914308,115919318,1090558,-0.6051081004544812
1983-03-18,115646578.0,116184324,115120057,115914770,1176198,0.3876980124368498
1983-03-19,113819510.0,115916366,115118744,115128246,712196,0.5298471902381414
1983-03-21,109360181.0,113820587,109627941,110154632,818741,-0.95395349878729
1983-03-22,106484512.0,109365090,104118550,105958704,1076249,-1.3162379173381973
1983-03-23,107809054.0,107283079,105959600,107278635,1117374,0.6725438141355482
1983-03-24,112525307.0,112524541,107805236,111475979,1055606,1.6167916750032116
1983-03-25,111730075.0,112530088,111204744,111736739,1017486,0.2620523138885099
1983-03-26,108601778.0,112519350,111200799,111210445,828585,0.0916023362876409
1983-03-28,106249584.0,110175348,108595132,108601064,1667743,0.2324549819536358
1983-03-29,111474761.0,108344587,105977156,108337316,1575623,0.1565308489919564
1983-03-30,110433213.0,111744604,109904420,110957960,1042882,-0.3765085101118904
1983-03-31,109147813.0,110976273,109121761,109402970,1337992,0.5481083296632399
1983-04-01,108635522.0,109944235,108092911,108626896,1177999,0.4971036025547365
1983-04-02,109163228.0,110990397,108650071,110985540,766603,0.3517423848689268
1983-04-04,109439832.0,109960924,109158299,109432979,1378392,0.1680265163153458
1983-04-06,107395105.0,109465966,108126194,108153527,1218207,0.060138194750448
1983-04-07,106118174.0,108195918,106085083,106622757,1912751,0.9800745360592844
1983-04-08,111351048.0,110049441,106109904,110038305,1639572,0.9926643230149498
1983-04-09,113951532.0,112663194,111340631,112655496,1444509,0.958464990890896
1983-04-11,118109177.0,117874329,113680234,116557538,1538016,0.0825433826298618
1983-04-12,116784814.0,118899140,114704016,116536191,1190638,-0.2353651328108333
1983-04-13,127016311.0,124375342,116774643,124369713,1732284,1.2534985466191513
1983-04-14,125196281.0,129125039,124397229,124930543,2155940,1.5450523220414405
1983-04-15,128373187.0,127836269,122841454,127570652,3705082,1.7862388257413395
1983-04-16,124739218.0,128391975,126021573,126037627,2521843,2.201634069182777
1983-04-18,118746685.0,125547710,121067815,121094961,3347737,-0.1601166090036226
1983-04-19,125549816.0,124786281,118479152,123463941,4549572,1.9004724417366967
